HOA,address,baths,beds,desc,homeOwnersInsurance,listingStatus,lotSize,mainImage,mlsNumber,parking,price,pricePerSqft,principalInterest,propertyTax,propertyType,rentalEarnings,scrapeDate,source,sqft,url,yearBuilt,rentalEarningsRawResponse,rentalLow,rentalHigh,rentalEarningsSource
$490/mo,"5532 S Greenwood St, Littleton, CO 80120",2,2,"Listing at 5532 S Greenwood St, Littleton, CO 80120",187,For sale,,https://ssl.cdn-redfin.com/photo/94/bigphoto/094/6659094_0.jpg,#6659094,1 car garage,400000,$351 ,"$2,076 ",228,Single Family,1810,2025-09-03T02:02:19.404Z,Redfin,1139,https://www.redfin.com/CO/Littleton/5532-S-Greenwood-St-80120/home/34944105,1975,[object Object],1430,2190,RentCast
$315/mo,"612 Washington #12, Wayne, PA 19087",2,2,"Listing at 612 Washington #12, Wayne, PA 19087",107,For sale,,https://ssl.cdn-redfin.com/photo/235/bigphoto/894/PACT2106894_0.jpg,#PACT2106894,,299000,$316 ,"$1,551 ",287,Condo,1864,2025-09-03T02:03:16.686Z,Redfin,946,https://www.redfin.com/PA/Chesterbrook/612-Washington-Pl-19087/unit-12/home/38644311,1985,,,,
$811/mo,"7500 E Mccormick Pkwy #32, Scottsdale, AZ 85258",,2,"Listing at 7500 E Mccormick Pkwy #32, Scottsdale, AZ 85258",,For sale,552 sq ft,https://ssl.cdn-redfin.com/photo/86/bigphoto/268/6910268_1.jpg,#6910268,,1530000,$686 ,,,Single Family,4890,2025-09-03T02:04:34.330Z,Redfin,2230,https://www.redfin.com/AZ/Scottsdale/7500-E-McCormick-Pkwy-85258/unit-32/home/27865223,1980,[object Object],3220,6550,RentCast
$130/mo,"26 Craig Ave, Madison, WI 53705",1,2,"Listing at 26 Craig Ave, Madison, WI 53705",81,For sale,,https://ssl.cdn-redfin.com/photo/129/bigphoto/306/2007306_2.jpg,#2007306,,250000,$326 ,"$1,297 ",342,Condo,1689,2025-09-03T02:05:31.806Z,Redfin,768,https://www.redfin.com/WI/Madison/26-Craig-Ave-53705/home/185135129,1951,,,,
$579/mo,"6302 Mineral Point Rd #213, Madison, WI 53705",2,2,"Listing at 6302 Mineral Point Rd #213, Madison, WI 53705",73,For sale,,https://ssl.cdn-redfin.com/photo/129/bigphoto/909/2006909_2.jpg,#2006909,1 space,224900,$197 ,"$1,167 ",265,Condo,2192,2025-09-03T02:06:17.563Z,Redfin,1140,https://www.redfin.com/WI/Madison/6302-Mineral-Point-Rd-53705/unit-213/home/57811304,1974,,,,
$449/mo,"5510 Caddis Bend Bnd #203, Fitchburg, WI 53711",2,2,"Listing at 5510 Caddis Bend Bnd #203, Fitchburg, WI 53711",123,For sale,,https://ssl.cdn-redfin.com/photo/129/bigphoto/783/2007783_1.jpg,#2007783,2 spaces,379900,$239 ,"$1,971 ",380,Condo,2513,2025-09-03T02:07:22.518Z,Redfin,1589,https://www.redfin.com/WI/Fitchburg/5510-Caddis-Bnd-53711/unit-203/home/146334492,2002,,,,
$45/mo,"1003 Waterford Lake Dr, Cary, NC 27519",2.5,2,"Listing at 1003 Waterford Lake Dr, Cary, NC 27519",168,For sale,,https://ssl.cdn-redfin.com/photo/102/bigphoto/094/10119094_0.jpg,#10119094,1 garage spaces,430000,$306 ,"$2,231 ",251,Condo,2871,2025-09-03T02:08:53.906Z,Redfin,1404,https://www.redfin.com/NC/Cary/1003-Waterford-Lake-Dr-27519/home/144611623,2017,,,,
$253/mo,"8808 N Rockwell Dr, Oklahoma City, OK 73132",2.5,3,"Listing at 8808 N Rockwell Dr, Oklahoma City, OK 73132",159,For sale,,https://ssl.cdn-redfin.com/photo/163/bigphoto/383/1189383_1.jpg,#1189383,2 car garage,149000,$77 ,$773 ,153,Single Family,1486,2025-09-03T02:09:33.121Z,Redfin,1944,https://www.redfin.com/OK/Oklahoma-City/8808-N-Rockwell-Dr-73132/home/71767014,1975,,,,
$246/mo,"8719 N Roxbury Blvd, Oklahoma City, OK 73132",1.5,2,"Listing at 8719 N Roxbury Blvd, Oklahoma City, OK 73132",139,For sale,1 acres,https://ssl.cdn-redfin.com/photo/163/bigphoto/420/1187420_1.jpg,#1187420,,129900,$123 ,$674 ,100,Single Family,1249,2025-09-03T02:09:56.338Z,Redfin,1054,https://www.redfin.com/OK/Oklahoma-City/8719-N-Roxbury-Blvd-73132/home/78497005,1975,,,,
$339/mo,"11138 Hanlon Terrace Aly, WINTER GARDEN, FL 34787",2.5,3,"Listing at 11138 Hanlon Terrace Aly, WINTER GARDEN, FL 34787",286,For sale,"2,339 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/486/O6340486_0.jpg,#O6340486,,429000,$233 ,"$2,169 ",520,Single Family,2764,2025-09-05T23:15:29.964Z,Redfin,1838,https://www.redfin.com/FL/Winter-Garden/11138-Hanlon-Terrace-Aly-34787/home/170135860,2020,,,,
$232/mo,"15178 Blue Peacock Ln, Winter Garden, FL 34787",2.5,3,"Listing at 15178 Blue Peacock Ln, Winter Garden, FL 34787",323,For sale,"2,500 sq ft",https://ssl.cdn-redfin.com/photo/106/bigphoto/208/RX-11121208_0.jpg,#RX-11121208,,485000,$260 ,"$2,452 ",135,Single Family,2804,2025-09-05T23:16:17.627Z,Redfin,1868,https://www.redfin.com/FL/Winter-Garden/15178-Blue-Peacock-Ln-34787/home/189753287,2024,,,,
$159/mo,"7363 Mezzano Ln, WINTER GARDEN, FL 34787",3.5,4,"Listing at 7363 Mezzano Ln, WINTER GARDEN, FL 34787",333,For sale,"4,128 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/083/O6340083_0.jpg,#O6340083,,500000,$260 ,"$2,528 ",582,Single Family,2960,2025-09-05T23:16:41.854Z,Redfin,1920,https://www.redfin.com/FL/Winter-Garden/7363-Mezzano-Ln-34787/home/183355158,2023,,,,
$180/mo, ,2.5,3,Listing at  ,254,For sale,"2,178 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/838/O6341838_0.jpg,#O6341838,,380790,$225 ,"$1,925 ",352,Single Family,2947,2025-09-05T23:17:17.099Z,Redfin,1689,https://www.redfin.com/FL/Clermont/3091-Mindfullness-Dr-34787/home/197631781,2025,,,,
$159/mo,"7399 Mezzano Ln, WINTER GARDEN, FL 34787",3.5,4,"Listing at 7399 Mezzano Ln, WINTER GARDEN, FL 34787",359,For sale,"4,232 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/107/O6341107_1.jpg,#O6341107,,538000,$280 ,"$2,720 ",635,Single Family,2941,2025-09-05T23:17:50.144Z,Redfin,1920,https://www.redfin.com/FL/Winter-Garden/7399-Mezzano-Ln-34787/home/183355163,2023,,,,
$305/mo,"727 Catalonia Cv, OVIEDO, FL 32765",4.5,3,"Listing at 727 Catalonia Cv, OVIEDO, FL 32765",331,For sale,"1,143 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/254/O6340254_0.jpg,#O6340254,,495900,$261 ,"$2,508 ",352,Single Family,2661,2025-09-05T23:18:34.491Z,Redfin,1901,https://www.redfin.com/FL/Oviedo/727-Catalonia-Cv-32765/home/103835473,2017,,,,
$595/mo,"1939 Summer Club Dr #215, OVIEDO, FL 32765",2,3,"Listing at 1939 Summer Club Dr #215, OVIEDO, FL 32765",192,For sale,,,#O6341648,,287500,$244 ,"$1,454 ",202,Condo,1940,2025-09-05T23:18:51.951Z,Redfin,1180,https://www.redfin.com/FL/Oviedo/1939-Summer-Club-Dr-32765/unit-215/home/46339525,1998,,,,
$340/mo,"435 Evening Sky Dr, OVIEDO, FL 32765",2.5,4,"Listing at 435 Evening Sky Dr, OVIEDO, FL 32765",313,For sale,"2,328 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/553/O6337553_0.jpg,#O6337553,,470000,$232 ,"$2,377 ",208,Single Family,2730,2025-09-05T23:19:10.764Z,Redfin,2025,https://www.redfin.com/FL/Oviedo/435-Evening-Sky-Dr-32765/home/46343587,2010,,,,
$485/mo,"1950 Summer Club Dr #304, OVIEDO, FL 32765",2,2,"Listing at 1950 Summer Club Dr #304, OVIEDO, FL 32765",159,For sale,557 sq ft,https://ssl.cdn-redfin.com/photo/118/bigphoto/647/O6337647_0.jpg,#O6337647,,239000,$245 ,"$1,209 ",192,Condo,1416,2025-09-05T23:19:29.515Z,Redfin,975,https://www.redfin.com/FL/Oviedo/1950-Summer-Club-Dr-32765/unit-304/home/46339545,1998,,,,
$180/mo,"1975 Silverweed Way, OVIEDO, FL 32765",2.5,3,"Listing at 1975 Silverweed Way, OVIEDO, FL 32765",263,For sale,"1,900 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/096/O6338096_3.jpg,#O6338096,,395000,$215 ,"$1,997 ",474,Single Family,2440,2025-09-05T23:21:45.825Z,Redfin,1835,https://www.redfin.com/FL/Oviedo/1975-Silverweed-Way-32765/home/46344346,2011,,,,
$282/mo,"5107 Monticello Heights Ln, OVIEDO, FL 32765",2.5,3,"Listing at 5107 Monticello Heights Ln, OVIEDO, FL 32765",,For sale,"1,600 sq ft",https://ssl.cdn-redfin.com/photo/118/bigphoto/867/O6337867_0.jpg,#O6337867,,335000,$221 ,,,Single Family,2370,2025-09-05T23:22:05.283Z,Redfin,1516,https://www.redfin.com/FL/Oviedo/5107-Monticello-Heights-Ln-32765/home/46326544,2005,,,,
$350/mo,"3198 Bexfield Ct, Riverside, CA 92503",2,3,"Listing at 3198 Bexfield Ct, Riverside, CA 92503",143,For sale,,https://ssl.cdn-redfin.com/photo/45/bigphoto/781/IG25190781_0.jpg,#IG25190781,2 garage spaces,535000,$471 ,"$2,705 ",557,Condo,2456,2025-09-05T23:23:44.442Z,Redfin,1137,https://www.redfin.com/CA/Riverside/3198-Bexfield-Ct-92503/home/4999395,1985,,,,
$360/mo,"12911 Via Napoi, Riverside, CA 92503",2.5,2,"Listing at 12911 Via Napoi, Riverside, CA 92503",140,For sale,"1,400 sq ft",https://ssl.cdn-redfin.com/photo/45/bigphoto/612/IG25187612_2.jpg,#IG25187612,,525000,$404 ,"$2,655 ",547,Condo,2588,2025-09-05T23:24:17.065Z,Redfin,1300,https://www.redfin.com/CA/Riverside/12911-Via-Napoi-92503/home/4755204,1992,,,,
$275/mo,"3125 Stone Forest Cir, McKinney, TX 75070",2.5,3,"Listing at 3125 Stone Forest Cir, McKinney, TX 75070",254,For sale,,https://ssl.cdn-redfin.com/photo/90/bigphoto/819/21043819_0.jpg,#21043819,2 car garage,347000,$232 ,"$1,755 ",481,Condo,2893,2025-09-05T23:25:27.756Z,Redfin,1497,https://www.redfin.com/TX/McKinney/3125-Stone-Forest-Cir-75070/home/31588981,2005,,,,
$39/mo,"6000 Millie Way, McKinney, TX 75070",3,3,"Listing at 6000 Millie Way, McKinney, TX 75070",458,For sale,"3,010 sq ft",https://ssl.cdn-redfin.com/photo/90/bigphoto/673/21009673_1.jpg,#21009673,,624000,$207 ,"$3,155 ",720,Single Family,3372,2025-09-05T23:26:26.211Z,Redfin,3010,https://www.redfin.com/TX/McKinney/6000-Millie-Way-75070/home/31774965,2007,,,,
$440/mo,"5308 Sutton Cir, McKinney, TX 75070",3,3,"Listing at 5308 Sutton Cir, McKinney, TX 75070",469,For sale,28.19 acres,https://ssl.cdn-redfin.com/photo/90/bigphoto/917/20896917_0.jpg,#20896917,,640000,$215 ,"$3,236 ",797,Condo,3694,2025-09-05T23:27:16.180Z,Redfin,2978,https://www.redfin.com/TX/McKinney/5308-Sutton-Cir-75070/home/144138745,2016,,,,
$605/mo,"24150 Valencia Ridge Ln, Katy, TX 77494",2,2,"Listing at 24150 Valencia Ridge Ln, Katy, TX 77494",241,For sale,"3,798 sq ft",https://ssl.cdn-redfin.com/photo/104/bigphoto/369/33075369_1.jpg,#33075369,,329000,$185 ,"$1,664 ",604,Single Family,2586,2025-09-05T23:33:11.784Z,Redfin,1776,https://www.redfin.com/TX/Katy/24150-Valencia-Ridge-Ln-77494/home/112811564,2014,,,,
$190/mo,"25239 Bentley Glen Ln, Katy, TX 77494",2.5,3,"Listing at 25239 Bentley Glen Ln, Katy, TX 77494",220,For sale,"2,799 sq ft",https://ssl.cdn-redfin.com/photo/104/bigphoto/038/64088038_3.jpg,#64088038,,300000,$193 ,"$1,517 ",570,Single Family,2878,2025-09-05T23:33:34.415Z,Redfin,1554,https://www.redfin.com/TX/Katy/25239-Bentley-Glen-Ln-77494/home/32567389,2006,,,,
$452/mo,"5347 Greenbrae Ln, Katy, TX 77494",2,2,"Listing at 5347 Greenbrae Ln, Katy, TX 77494",227,For sale,0.26 acres,https://ssl.cdn-redfin.com/photo/104/bigphoto/214/28243214_1.jpg,#28243214,,310000,$192 ,"$1,568 ",599,Single Family,2526,2025-09-05T23:34:40.526Z,Redfin,1611,https://www.redfin.com/TX/Katy/5347-Greenbrae-Ln-77494/home/32566676,2006,,,,
$190/mo,"25270 Finchgrove Ln, Katy, TX 77494",2.5,3,"Listing at 25270 Finchgrove Ln, Katy, TX 77494",224,For sale,"3,089 sq ft",https://ssl.cdn-redfin.com/photo/104/bigphoto/805/92697805_2.jpg,#92697805,,305000,$196 ,"$1,542 ",518,Single Family,2878,2025-09-05T23:34:59.056Z,Redfin,1554,https://www.redfin.com/TX/Katy/25270-Finchgrove-Ln-77494/home/32567374,2005,,,,
$83/mo,"27942 Western Creek Ct, Katy, TX 77494",2.5,4,"Listing at 27942 Western Creek Ct, Katy, TX 77494",246,For sale,"3,162 sq ft",https://ssl.cdn-redfin.com/photo/104/bigphoto/325/76063325_2.jpg,#76063325,,335000,,"$1,694 ",816,Single Family,3149,2025-09-05T23:36:02.381Z,Redfin,,https://www.redfin.com/TX/Katy/27942-Western-Creek-Ct-77494/home/185415553,2023,,,,
$505/mo,"2104 Ladera Way #2104, Mansfield, TX 76063",2,2,"Listing at 2104 Ladera Way #2104, Mansfield, TX 76063",348,For sale,35.44 acres,https://ssl.cdn-redfin.com/photo/90/bigphoto/493/21031493_1.jpg,#21031493,,475000,$212 ,"$2,402 ",891,Condo,2880,2025-09-05T23:38:32.348Z,Redfin,2241,https://www.redfin.com/TX/Mansfield/2104-Ladera-Way-76063/unit-2104/home/144045166,2019,,,,
$75/mo,"3402 Lake Creek Trl, Mansfield, TX 76063",3,4,"Listing at 3402 Lake Creek Trl, Mansfield, TX 76063",605,For sale,0.26 acres,https://ssl.cdn-redfin.com/photo/90/bigphoto/561/21052561_1.jpg,#21052561,,825000,$203 ,"$4,172 ",1122,Single Family,3489,2025-09-05T23:39:03.418Z,Redfin,4062,https://www.redfin.com/TX/Mansfield/3402-Lake-Creek-Trl-76063/home/30994280,2006,,,,
$69/mo,"1907 Birch St, Mansfield, TX 76063",4,5,"Listing at 1907 Birch St, Mansfield, TX 76063",565,For sale,"5,489 sq ft",https://ssl.cdn-redfin.com/photo/90/bigphoto/379/21051379_0.jpg,#21051379,,770000,$192 ,"$3,894 ",1111,Single Family,3718,2025-09-05T23:39:20.144Z,Redfin,4011,https://www.redfin.com/TX/Mansfield/1907-Birch-St-76063/home/176487408,2023,,,,
$37/mo,"4209 Eagle Dr, Mansfield, TX 76063",4.5,5,"Listing at 4209 Eagle Dr, Mansfield, TX 76063",363,For sale,"7,754 sq ft",https://ssl.cdn-redfin.com/photo/90/bigphoto/190/21049190_0.jpg,#21049190,,495000,$125 ,"$2,503 ",968,Single Family,4400,2025-09-05T23:39:35.877Z,Redfin,3967,https://www.redfin.com/TX/Mansfield/4209-Eagle-Dr-76063/home/31030329,2005,,,,
$79/mo,"1904 M3 Ranch Rd, Mansfield, TX 76063",4.5,4,"Listing at 1904 M3 Ranch Rd, Mansfield, TX 76063",671,For sale,"10,533 sq ft",https://ssl.cdn-redfin.com/photo/90/bigphoto/747/21044747_0.jpg,#21044747,,915000,$237 ,"$4,627 ",166,Single Family,4250,2025-09-05T23:40:08.099Z,Redfin,3854,https://www.redfin.com/TX/Unknown/1904-M3-Ranch-Rd-Unknown/home/193196785,2025,,,,
$67/mo,"501 Pine Island Cir, Mansfield, TX 76063",3,4,"Listing at 501 Pine Island Cir, Mansfield, TX 76063",468,For sale,0.46 acres,https://ssl.cdn-redfin.com/photo/90/bigphoto/341/21044341_1.jpg,#21044341,,637500,$177 ,"$3,224 ",1102,Single Family,3303,2025-09-05T23:40:29.014Z,Redfin,3610,https://www.redfin.com/TX/Mansfield/501-Pine-Island-Cir-76063/home/106218887,2016,,,,
$184/mo, ,4,4,Listing at  ,578,For sale,"6,534 sq ft",https://ssl.cdn-redfin.com/photo/90/bigphoto/481/21043481_1.jpg,#21043481,,787946,$252 ,"$3,984 ",256,Single Family,2133,2025-09-05T23:40:54.405Z,Redfin,3132,https://www.redfin.com/TX/Mansfield/1616-Birch-St-76063/home/176487527,2025,,,,
$47/mo,"1705 Landing St, Mansfield, TX 76063",4,5,"Listing at 1705 Landing St, Mansfield, TX 76063",477,For sale,"10,324 sq ft",https://ssl.cdn-redfin.com/photo/90/bigphoto/504/21040504_0.jpg,#21040504,,649900,$188 ,"$3,286 ",1274,Single Family,3436,2025-09-05T23:41:29.276Z,Redfin,3450,https://www.redfin.com/TX/Mansfield/1705-Landing-St-76063/home/176487661,2022,,,,
$38/mo,"2615 Dylan Ln, Mansfield, TX 76063",4,5,"Listing at 2615 Dylan Ln, Mansfield, TX 76063",477,For sale,0.28 acres,https://ssl.cdn-redfin.com/photo/90/bigphoto/943/21029943_0.jpg,#21029943,,650000,$191 ,"$3,287 ",1112,Single Family,3411,2025-09-05T23:41:51.106Z,Redfin,3407,https://www.redfin.com/TX/Mansfield/2615-Dylan-Ln-76063/home/173909512,2021,,,,
$54/mo,"2311 Meek Woods Ln, Mansfield, TX 76063",4,4,"Listing at 2311 Meek Woods Ln, Mansfield, TX 76063",587,For sale,0.28 acres,https://ssl.cdn-redfin.com/photo/90/bigphoto/197/21035197_0.jpg,#21035197,,799990,$226 ,"$4,045 ",149,Single Family,3310,2025-09-05T23:42:08.858Z,Redfin,3538,https://www.redfin.com/TX/Mansfield/2311-Meek-Woods-Ln-76063/home/193129000,2025,,,,
$245/mo,"9631 Brandy Ct #7, Des Plaines, IL 60016",1,1,"Listing at 9631 Brandy Ct #7, Des Plaines, IL 60016",62,For sale,,https://ssl.cdn-redfin.com/system_files/media/1141724_JPG/item_1.jpg,#12460715,1 space,169900,$239 ,$859 ,221,Condo,1580,2025-09-05T23:42:49.948Z,Redfin,711,https://www.redfin.com/IL/Des-Plaines/9631-Brandy-Ct-60016/unit-7/home/12708349,1975,,,,
$436/mo,"825 Pearson Ave Unit 3E, Des Plaines, IL 60016",2,2,"Listing at 825 Pearson Ave Unit 3E, Des Plaines, IL 60016",97,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/257/12462257_0.jpg,#12462257,1 car garage,264000,$214 ,"$1,335 ",332,Condo,2390,2025-09-05T23:43:07.661Z,Redfin,1234,https://www.redfin.com/IL/Des-Plaines/825-Pearson-St-60016/unit-3E/home/13661847,1975,,,,
$522/mo,"1380 Oakwood Ave #306, Des Plaines, IL 60016",2,2,"Listing at 1380 Oakwood Ave #306, Des Plaines, IL 60016",117,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/458/12464458_0.jpg,#12464458,1 car garage,320000,$200 ,"$1,618 ",367,Condo,2610,2025-09-05T23:43:29.822Z,Redfin,1604,https://www.redfin.com/IL/Des-Plaines/1380-Oakwood-Ave-60016/unit-306/home/13660909,1989,,,,
$240/mo,"760 Hanbury Dr, Des Plaines, IL 60016",2.5,3,"Listing at 760 Hanbury Dr, Des Plaines, IL 60016",150,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/872/12447872_1.jpg,#12447872,2 car garage,410000,$266 ,"$2,073 ",564,Single Family,3260,2025-09-05T23:43:40.985Z,Redfin,1540,https://www.redfin.com/IL/Des-Plaines/760-Hanbury-Dr-60016/home/18948512,2005,,,,
$348/mo,"1378 Perry St #208, Des Plaines, IL 60016",1.5,2,"Listing at 1378 Perry St #208, Des Plaines, IL 60016",112,For sale,,https://ssl.cdn-redfin.com/photo/68/bigphoto/614/12461614_0.jpg,#12461614,1 car garage,305000,$277 ,"$1,542 ",494,Condo,2030,2025-09-05T23:43:55.845Z,Redfin,1100,https://www.redfin.com/IL/Des-Plaines/1378-Perry-St-60016/unit-208/home/12666974,2003,,,,
$347/mo,"11712 84th Ave N #309, Maple Grove, MN 55369",3,2,"Listing at 11712 84th Ave N #309, Maple Grove, MN 55369",160,For sale,0.84 acres,https://ssl.cdn-redfin.com/system_files/media/1122553_JPG/item_5.jpg,#6782034,,295000,$207 ,"$1,492 ",256,Single Family,2161,2025-09-05T23:44:26.455Z,Redfin,1428,https://www.redfin.com/MN/Maple-Grove/11712-84th-Ave-N-55369/unit-309/home/51273372,2009,,,,
$286/mo,"9184 Upland Ln N, Maple Grove, MN 55369",2,3,"Listing at 9184 Upland Ln N, Maple Grove, MN 55369",162,For sale,"3,920 sq ft",https://ssl.cdn-redfin.com/photo/114/bigphoto/235/6781235_1.jpg,#6781235,,299900,$187 ,"$1,516 ",294,Single Family,2262,2025-09-05T23:44:46.122Z,Redfin,1601,https://www.redfin.com/MN/Maple-Grove/9184-Upland-Ln-N-55369/home/51388995,1987,,,,
$250/mo,"13351 90th Pl N, Maple Grove, MN 55369",2,2,"Listing at 13351 90th Pl N, Maple Grove, MN 55369",130,For sale,0.99 acres,https://ssl.cdn-redfin.com/photo/114/bigphoto/289/6781289_1.jpg,#6781289,,239900,$218 ,"$1,213 ",189,Single Family,1950,2025-09-05T23:45:03.739Z,Redfin,1100,https://www.redfin.com/MN/Maple-Grove/13351-90th-Pl-N-55369/home/49908264,1990,,,,
$37/mo,"14810 106th Ave N, Maple Grove, MN 55369",5,4,"Listing at 14810 106th Ave N, Maple Grove, MN 55369",650,For sale,"10,434 sq ft",https://ssl.cdn-redfin.com/photo/114/bigphoto/223/6782223_0.jpg,#6782223,,1200000,$271 ,"$6,068 ",1110,Single Family,3826,2025-09-05T23:45:33.430Z,Redfin,4431,https://www.redfin.com/MN/Maple-Grove/14810-106th-Ave-N-55369/home/193945656,2025,,,,
$95/mo,"15561 110th Ave N, Dayton, MN 55369",5,4,"Listing at 15561 110th Ave N, Dayton, MN 55369",525,For sale,0.35 acres,https://ssl.cdn-redfin.com/photo/114/bigphoto/268/6768268_0.jpg,#6768268,,969900,$211 ,"$4,904 ",809,Single Family,3950,2025-09-05T23:45:59.922Z,Redfin,4586,https://www.redfin.com/MN/Osseo/15561-110th-Ave-N-55369/home/175713394,2021,,,,
$95/mo,"15171 110th Ave N, Dayton, MN 55369",4,4,"Listing at 15171 110th Ave N, Dayton, MN 55369",459,For sale,"9,583 sq ft",https://ssl.cdn-redfin.com/photo/114/bigphoto/798/6760798_4.jpg,#6760798,,848250,$229 ,"$4,289 ",96,Single Family,3690,2025-09-05T23:46:13.269Z,Redfin,3704,https://www.redfin.com/MN/Osseo/15171-110th-Ave-N-55369/home/186162662,2025,,,,
$215/mo,"8189 Baltimore Ave Unit 7C, Westerville, OH 43081",1.5,2,"Listing at 8189 Baltimore Ave Unit 7C, Westerville, OH 43081",82,For sale,435 sq ft,https://ssl.cdn-redfin.com/photo/160/bigphoto/051/225033051_1.jpg,#225033051,,220000,$214 ,"$1,112 ",269,Condo,1610,2025-09-05T23:47:33.906Z,Redfin,1030,https://www.redfin.com/OH/Westerville/8189-Baltimore-Ave-43081/unit-7C/home/79496258,1990,,,,
$305/mo,"5007 Deer Forest Pl, Westerville, OH 43081",1.5,2,"Listing at 5007 Deer Forest Pl, Westerville, OH 43081",,For sale,"1,306 sq ft",https://ssl.cdn-redfin.com/photo/160/bigphoto/152/225033152_2.jpg,#225033152,,224900,$218 ,,,Condo,1700,2025-09-05T23:47:46.462Z,Redfin,1034,https://www.redfin.com/OH/Westerville/5007-Deer-Forest-Pl-43081/home/79528916,1987,,,,
$150/mo,"255 Cross Wind Dr, Westerville, OH 43081",2.5,2,"Listing at 255 Cross Wind Dr, Westerville, OH 43081",75,For sale,,https://ssl.cdn-redfin.com/photo/160/bigphoto/276/225033276_0.jpg,#225033276,1 car garage,199000,$181 ,"$1,006 ",212,Condo,1610,2025-09-05T23:48:02.507Z,Redfin,1100,https://www.redfin.com/OH/Westerville/255-Crosswind-Dr-43081/home/193420109,1984,,,,
$458/mo,"5070 Strawpocket Ln #9, Westerville, OH 43081",2.5,3,"Listing at 5070 Strawpocket Ln #9, Westerville, OH 43081",94,For sale,871 sq ft,https://ssl.cdn-redfin.com/photo/160/bigphoto/301/225032301_D.jpg,#225032301,,249900,$159 ,"$1,264 ",342,Condo,2240,2025-09-05T23:48:39.732Z,Redfin,1570,https://www.redfin.com/OH/Westerville/5070-Strawpocket-Ln-43081/unit-9/home/100778527,1974,,,,
$641/mo,"4755 Crazy Horse Ln #6, Westerville, OH 43081",2.5,2,"Listing at 4755 Crazy Horse Ln #6, Westerville, OH 43081",99,For sale,871 sq ft,https://ssl.cdn-redfin.com/photo/160/bigphoto/542/225031542_9.jpg,#225031542,,265000,$141 ,"$1,340 ",328,Condo,2600,2025-09-05T23:49:00.778Z,Redfin,1882,https://www.redfin.com/OH/Westerville/4755-Crazy-Horse-Ln-43081/unit-6/home/79692249,1974,,,,
$219/mo,"6239 Amber Creek Ln #312, Indianapolis, IN 46237",2,2,"Listing at 6239 Amber Creek Ln #312, Indianapolis, IN 46237",71,For sale,,https://ssl.cdn-redfin.com/photo/147/bigphoto/084/22061084_0.jpg,#22061084,1 car garage,175000,$130 ,$885 ,164,Condo,1700,2025-09-05T23:49:35.475Z,Redfin,1344,https://www.redfin.com/IN/Indianapolis/6239-Amber-Creek-Ln-46237/unit-312/home/82301953,2007,,,,
$225/mo,"5122 Cobham Way, Indianapolis, IN 46237",2,2,"Listing at 5122 Cobham Way, Indianapolis, IN 46237",104,For sale,"5,512 sq ft",https://ssl.cdn-redfin.com/photo/147/bigphoto/956/22060956_0.jpg,#22060956,,255000,$154 ,"$1,289 ",370,Condo,1520,2025-09-05T23:49:50.433Z,Redfin,1654,https://www.redfin.com/IN/Indianapolis/5122-Cobham-Way-46237/home/82329335,1998,,,,
$80/mo,"5760 Misty Ridge Dr, Indianapolis, IN 46237",1.5,2,"Listing at 5760 Misty Ridge Dr, Indianapolis, IN 46237",76,For sale,"3,885 sq ft",,#22059606,,185000,$182 ,$935 ,111,Condo,1400,2025-09-05T23:50:22.420Z,Redfin,1018,https://www.redfin.com/IN/Indianapolis/5760-Misty-Ridge-Dr-46237/home/66988314,1997,,,,
$476/mo,"12444 Sea Lane Dr, Florissant, MO 63033",1.5,3,"Listing at 12444 Sea Lane Dr, Florissant, MO 63033",65,For sale,"5,793 sq ft",https://ssl.cdn-redfin.com/photo/156/bigphoto/051/25059051_0.jpg,#25059051,,89000,$69 ,$450 ,124,Condo,2440,2025-09-05T23:51:05.892Z,Redfin,1296,https://www.redfin.com/MO/Florissant/12444-Sea-Lane-Dr-63033/home/93343643,1974,,,,
$244/mo,"6691 Parker Rd Unit C, St Louis, MO 63033",2,3,"Listing at 6691 Parker Rd Unit C, St Louis, MO 63033",55,For sale,"3,484 sq ft",https://ssl.cdn-redfin.com/photo/156/bigphoto/679/25051679_0.jpg,#25051679,,75000,$62 ,$379 ,95,Condo,2249,2025-09-05T23:51:34.157Z,Redfin,1218,https://www.redfin.com/MO/Florissant/6691-Parker-Rd-63033/unit-C/home/93354231,1968,,,,
